Date,Gold_Toman,USD_Toman,Ounce_Toman,Oil_Toman
2025-12-10,12681800.00,124930.00,524256239.80,7771895.19
2025-12-09,12679700.00,124870.00,525290653.39,7734447.63
2025-12-08,12713200.00,126280.00,528759640.66,7891237.41
2025-12-07,12706500.00,124005.00,522284234.78,7844556.09
2025-12-06,12449600.00,121995.00,513818517.17,7717403.50
2025-12-04,12248000.00,119705.00,504173495.62,7572538.10
2025-12-03,12295300.00,120455.00,505826657.97,7548914.63
2025-12-02,12120800.00,118695.00,496928498.59,7412502.84
2025-12-01,12210200.00,118975.00,504370694.26,7515650.53
2025-11-30,12054100.00,117380.00,488911198.93,7410199.53
2025-11-29,11834300.00,115860.00,482580094.63,7314241.92
2025-11-27,11469100.00,114170.00,475540906.30,7207552.22
2025-11-26,11496900.00,113640.00,473333350.20,7174093.32
2025-11-25,11355600.00,113460.00,469633654.16,7088980.75
2025-11-23,11277300.00,113760.00,461467440.00,7210108.92
2025-11-22,11125200.00,112910.00,458019415.00,7156235.92
2025-11-20,11349400.00,113520.00,460493880.00,7194897.72
2025-11-19,11345900.00,113360.00,462248066.46,7199493.41
2025-11-18,11128700.00,112550.00,457099320.50,7303369.43
2025-11-17,11182900.00,112495.00,457663413.99,7222178.66
2025-11-16,11107000.00,112190.00,469728300.04,7069091.71
2025-11-15,11225900.00,112830.00,472407915.98,7109418.11
2025-11-13,11558300.00,112530.00,471151846.01,7090515.11
2025-11-12,11397200.00,112610.00,473457473.00,7061773.00
2025-11-11,11008100.00,109840.00,451090890.55,7157174.80
2025-11-10,10571100.00,107670.00,442717484.97,6897339.94
2025-11-09,10455000.00,107860.00,429272003.47,6836166.92
2025-11-08,10430700.00,107805.00,429053108.97,6832681.02
2025-11-06,10501900.00,107840.00,429192405.47,6834899.32
2025-11-05,10468600.00,107860.00,429315163.27,6851267.25
2025-11-04,10472800.00,108215.00,427200350.22,6973374.86
2025-11-03,10488500.00,107970.00,431912396.27,7006173.23
2025-11-02,10497000.00,108320.00,433420821.29,7040800.00
2025-11-01,10626300.00,108870.00,435621536.32,7076550.00
2025-10-30,10381800.00,107300.00,429339495.24,6974500.00
2025-10-29,10455000.00,106910.00,425897361.78,6940597.00
2025-10-28,10352700.00,106930.00,424105760.78,6886292.16
2025-10-27,10545300.00,107980.00,432125151.46,7085647.90
2025-10-26,10743800.00,107840.00,444893920.00,7116361.37
2025-10-25,10649400.00,107020.00,441511010.00,7062249.57
2025-10-23,10895300.00,108480.00,447534240.00,7158594.97
2025-10-22,10863900.00,107560.00,435015653.50,6732180.42
2025-10-21,10912100.00,108890.00,445109647.68,6677134.77
2025-10-20,10974200.00,106410.00,461436313.61,6492073.92
2025-10-19,11081800.00,108340.00,463716889.16,6615240.55
2025-10-18,10847700.00,106500.00,455841320.80,6502890.15
2025-10-16,11274100.00,110250.00,471892071.53,6731865.15
2025-10-15,11170000.00,109580.00,457704691.30,6784097.78
2025-10-14,10843300.00,108890.00,450663064.27,6793647.03
2025-10-13,10934500.00,111200.00,456876330.86,7041183.97
2025-10-12,10842400.00,112140.00,442538087.48,7313770.94
2025-10-11,10922700.00,112700.00,444748015.50,7350294.14
2025-10-09,11142700.00,113285.00,447056601.03,7388447.84
2025-10-08,11372900.00,115690.00,467769382.65,7664462.50
2025-10-07,10929900.00,113970.00,453213113.13,7459336.15
2025-10-06,10530900.00,111160.00,438915260.00,7277645.34
2025-10-05,10604100.00,113870.00,437226633.44,7300205.77
2025-10-04,10954800.00,115380.00,443024580.37,7397011.87
2025-10-02,11081300.00,117860.00,452547036.25,7556004.67
2025-10-01,10906600.00,115440.00,446464200.00,7544003.82
2025-09-30,10674100.00,114130.00,438350509.57,7648992.22
2025-09-29,10460300.00,112040.00,428093625.06,7615358.94
2025-09-28,10159500.00,110520.00,413002177.21,7672298.20
2025-09-27,10357100.00,110120.00,411507417.25,7644530.20
2025-09-25,9975700.00,108290.00,404668890.42,7517491.60
2025-09-24,9948200.00,107205.00,400099790.97,7430378.29
2025-09-23,9651100.00,103490.00,391254304.11,6999028.42
2025-09-22,9360500.00,104000.00,389032794.92,6923279.97
2025-09-21,9674200.00,105860.00,385722076.83,7139198.66
2025-09-20,9235600.00,102610.00,373880051.99,6920018.65
2025-09-18,8741000.00,98845.00,360161521.67,6666107.04
2025-09-17,8839900.00,99235.00,365363427.85,6743017.95
2025-09-16,8841500.00,99645.00,367580430.77,6822693.27
2025-09-15,8680300.00,99255.00,365476756.15,6693757.44
2025-09-14,8425400.00,97980.00,356343452.43,6502932.87
2025-09-13,8462400.00,97685.00,355270566.96,6483353.72
2025-09-11,8634200.00,99300.00,361144160.30,6590541.27
2025-09-09,8850200.00,100830.00,367353943.92,6694103.64
2025-09-08,8806600.00,101100.00,367811919.87,6674621.66
2025-09-07,8819800.00,102680.00,366136349.01,6878532.98
2025-09-06,8764600.00,102980.00,367206089.03,6898629.98
2025-09-04,8614800.00,101440.00,361714756.95,6795465.38
2025-09-03,8760200.00,102570.00,368554518.99,6933731.84
2025-09-02,8769200.00,103200.00,366298069.92,7135247.94
2025-08-31,8940700.00,104830.00,359755599.12,7193434.89
2025-08-30,8611800.00,102620.00,352171321.01,7041784.68
2025-08-28,8343500.00,98900.00,339405024.83,6786518.27
2025-08-27,8296400.00,100000.00,340460009.77,6805000.31
2025-08-26,7967400.00,96650.00,327508199.44,6496813.12
2025-08-25,7861700.00,95800.00,323210044.68,6591040.29
2025-08-23,7764700.00,94100.00,314002280.81,6367746.83
2025-08-21,7845300.00,95060.00,317205704.72,6432710.03
2025-08-20,7735200.00,93750.00,313443740.84,6266249.66
2025-08-19,7593200.00,93345.00,309289313.88,6141167.64
2025-08-18,7586900.00,93850.00,312680040.42,6250409.86
2025-08-17,7513100.00,93290.00,313333118.44,6122622.44
2025-08-16,7401800.00,92760.00,311553007.47,6087838.55
2025-08-13,7623700.00,93670.00,314609424.43,6147561.84
2025-08-12,7449600.00,92490.00,309739751.97,6115439.05
2025-08-11,7496400.00,93275.00,312760411.61,6214912.99
2025-08-10,7492300.00,92000.00,310960000.00,6153879.94
2025-08-09,7457700.00,91830.00,310385400.00,6142508.64
2025-08-06,7593400.00,93450.00,315861000.00,6250870.44
2025-08-05,7592700.00,92960.00,314381414.92,6287814.34
2025-08-04,7641000.00,93410.00,315202694.88,6422871.80
2025-08-03,7672400.00,93800.00,314014255.42,6535045.83
2025-08-02,7524800.00,92400.00,309327475.49,6437507.83
2025-08-01,7398100.00,91180.00,305243281.55,6352510.43
2025-07-30,7210900.00,90560.00,298467652.42,6632614.21
2025-07-29,7148500.00,89600.00,297776631.25,6496896.19
2025-07-28,7144100.00,89250.00,295337183.72,6251070.08
2025-07-27,7122400.00,89205.00,297409470.00,6105190.42
2025-07-26,7025500.00,88000.00,293392000.00,6022720.21
2025-07-25,7008600.00,88050.00,293558700.00,6026142.21
2025-07-23,7107000.00,88440.00,300174212.64,6059024.59
2025-07-22,7134400.00,87990.00,302615203.70,6035233.78
2025-07-21,7182500.00,88110.00,299741400.40,6098093.02
2025-07-20,7078600.00,87895.00,294711935.00,6089365.49
2025-07-19,6945100.00,86760.00,290906280.00,6010732.69
2025-07-18,6985100.00,87560.00,293588680.00,6066156.69
2025-07-16,7081800.00,88740.00,297500850.00,6080464.50
2025-07-15,7127500.00,88840.00,295819436.34,6104196.32
2025-07-14,7126100.00,89420.00,299691130.00,6188758.12
2025-07-12,7155700.00,88900.00,298348400.00,6255004.05
2025-07-11,6966400.00,87090.00,292274040.00,6127652.45
