Date,Gold_Toman,USD_Toman,Ounce_Toman,Oil_Toman,SMA_7,SMA_30,EMA_12,EMA_26,MACD,MACD_Signal,RSI_14,Bollinger_Upper,Bollinger_Lower,Gold_Toman_Lag_1,Gold_Toman_Lag_2,Gold_Toman_Lag_3,Gold_Toman_Lag_7,USD_Toman_Lag_1,USD_Toman_Lag_2,USD_Toman_Lag_3,USD_Toman_Lag_7,Ounce_Toman_Lag_1,Ounce_Toman_Lag_2,Ounce_Toman_Lag_3,Ounce_Toman_Lag_7,Gold_PCT_Change,USD_PCT_Change,Target_NextDay_Price
2021-01-19,992300.0,22645.0,41655477.5,1265855.53,1031642.8571428572,1120648.6666666667,1057194.3922332851,1095848.4426356824,-38654.05040239729,-19989.77462290317,25.05269497139416,1248394.1723545652,971621.8276454348,962200.0,999900.0,1039100.0,1101500.0,21983.0,22947.0,23953.0,24874.0,40675145.97,42458835.22,44320237.07,47566551.41,3.1282477655373064,3.011417913842518,1035200.0
2021-01-20,1035200.0,22787.0,42518263.86,1277895.0,1021514.2857142857,1117225.3333333333,1053810.6395820105,1091355.9654034097,-37545.32582139922,-23500.88486260238,27.792283144763573,1245574.6418846345,963311.3581153655,992300.0,962200.0,999900.0,1106100.0,22645.0,21983.0,22947.0,24918.0,41655477.5,40675145.97,42458835.22,46088332.19,4.323289327824242,0.6270699933760282,1035200.0
2021-01-21,1035200.0,22655.0,42258372.61,1270945.47,1014714.2857142857,1114068.6666666667,1050947.464261701,1087196.2642624164,-36248.8000007153,-26050.467890224965,23.767228177641655,1241450.569962366,956025.4300376339,1035200.0,992300.0,962200.0,1082800.0,22787.0,22645.0,21983.0,24443.0,42518263.86,41655477.5,40675145.97,45046005.3,0.0,-0.5792776583139481,1054600.0
2021-01-23,1054600.0,23462.0,43763669.75,1316218.16,1016928.5714285715,1111315.3333333333,1051509.392836824,1084781.726168904,-33272.33333207993,-27494.84097859596,31.678641410842587,1236648.215902437,951917.7840975631,1035200.0,1035200.0,992300.0,1039100.0,22655.0,22787.0,22645.0,23854.0,42258372.61,42518263.86,41655477.5,44215773.82,1.874034003091185,3.5621275656587903,1065000.0
2021-01-24,1065000.0,23354.0,43562217.34,1310159.36,1020628.5714285715,1108908.6666666667,1053584.870861928,1083316.4131193557,-29731.542257427704,-27942.18123436231,34.972321719309676,1230882.4241741097,949493.5758258903,1054600.0,1035200.0,1035200.0,1039100.0,23462.0,22655.0,22787.0,23953.0,43763669.75,42258372.61,42518263.86,44320237.07,0.9861558884885158,-0.4603188134003955,1046500.0
2021-01-25,1046500.0,23431.0,43462162.47,1309324.31,1027285.7142857143,1105892.0,1052494.8907293235,1080589.2714068107,-28094.380677487236,-27972.621122987297,32.98525798525799,1224347.6379613786,945882.3620386214,1065000.0,1054600.0,1035200.0,999900.0,23354.0,23462.0,22655.0,22947.0,43562217.34,43763669.75,42258372.61,42458835.22,-1.7370892018779394,0.3297079729382535,1055700.0
2021-01-26,1055700.0,23803.0,44052210.94,1330825.73,1040642.8571428572,1103042.0,1052987.9844632738,1078745.621672973,-25757.637209699256,-27529.62434032969,40.754980775952475,1215422.8931901846,944577.1068098154,1046500.0,1065000.0,1054600.0,962200.0,23431.0,23354.0,23462.0,21983.0,43462162.47,43562217.34,43763669.75,40675145.97,0.879120879120876,1.5876403055780752,1073100.0
2021-01-27,1073100.0,23965.0,44213029.09,1337486.68,1052185.7142857143,1100742.0,1056082.1406996932,1078327.4274749751,-22245.286775281886,-26472.756827320132,45.209176788124154,1199700.9421294138,948779.0578705862,1055700.0,1046500.0,1065000.0,992300.0,23803.0,23431.0,23354.0,22645.0,44052210.94,43462162.47,43562217.34,41655477.5,1.6481955100881018,0.6805864806957107,1073100.0
2021-01-28,1073100.0,23211.0,42659497.47,1288906.8,1057600.0,1098212.0,1058700.2728997404,1077940.210624977,-19239.93772523664,-25026.193006903435,44.34544208361892,1176522.8550868635,958617.1449131364,1073100.0,1055700.0,1046500.0,1035200.0,23965.0,23803.0,23431.0,22787.0,44213029.09,44052210.94,43462162.47,42518263.86,0.0,-3.146254955142913,1107700.0
2021-01-30,1107700.0,24444.0,44925628.2,1357375.29,1067957.142857143,1096672.0,1066238.6924536265,1080144.6394675714,-13905.947013944853,-22802.14380831172,54.107555262289665,1165113.8876607735,964116.1123392264,1073100.0,1073100.0,1055700.0,1035200.0,23211.0,23965.0,23803.0,22655.0,42659497.47,44213029.09,44052210.94,42258372.61,3.2243034199981313,5.312136487010477,1094100.0
