Date,Gold_Toman,USD_Toman,Ounce_Toman,Oil_Toman
2025-12-10,12681800.00,1249300.00,5242562398.00,77718951.86
2025-12-09,12679700.00,1248700.00,5252906533.89,77344476.29
2025-12-08,12713200.00,1262800.00,5287596406.64,78912374.12
2025-12-07,12706500.00,1240050.00,5222842347.80,78445560.92
2025-12-06,12449600.00,1219950.00,5138185171.73,77174034.95
2025-12-04,12248000.00,1197050.00,5041734956.20,75725380.99
2025-12-03,12295300.00,1204550.00,5058266579.74,75489146.29
2025-12-02,12120800.00,1186950.00,4969284985.91,74125028.41
2025-12-01,12210200.00,1189750.00,5043706942.63,75156505.32
2025-11-30,12054100.00,1173800.00,4889111989.26,74101995.25
2025-11-29,11834300.00,1158600.00,4825800946.29,73142419.24
2025-11-27,11469100.00,1141700.00,4755409062.99,72075522.22
2025-11-26,11496900.00,1136400.00,4733333501.95,71740933.21
2025-11-25,11355600.00,1134600.00,4696336541.60,70889807.48
2025-11-23,11277300.00,1137600.00,4614674400.00,72101089.22
2025-11-22,11125200.00,1129100.00,4580194150.00,71562359.21
2025-11-20,11349400.00,1135200.00,4604938800.00,71948977.21
2025-11-19,11345900.00,1133600.00,4622480664.65,71994934.10
2025-11-18,11128700.00,1125500.00,4570993204.96,73033694.31
2025-11-17,11182900.00,1124950.00,4576634139.93,72221786.57
2025-11-16,11107000.00,1121900.00,4697283000.44,70690917.12
2025-11-15,11225900.00,1128300.00,4724079159.81,71094181.11
2025-11-13,11558300.00,1125300.00,4711518460.11,70905151.11
2025-11-12,11397200.00,1126100.00,4734574730.03,70617729.97
2025-11-11,11008100.00,1098400.00,4510908905.47,71571748.02
2025-11-10,10571100.00,1076700.00,4427174849.71,68973399.37
2025-11-09,10455000.00,1078600.00,4292720034.67,68361669.15
2025-11-08,10430700.00,1078050.00,4290531089.72,68326810.15
2025-11-06,10501900.00,1078400.00,4291924054.69,68348993.15
2025-11-05,10468600.00,1078600.00,4293151632.67,68512672.49
2025-11-04,10472800.00,1082150.00,4272003502.16,69733748.64
2025-11-03,10488500.00,1079700.00,4319123962.72,70061732.34
2025-11-02,10497000.00,1083200.00,4334208212.89,70408000.00
2025-11-01,10626300.00,1088700.00,4356215363.16,70765500.00
2025-10-30,10381800.00,1073000.00,4293394952.39,69745000.00
2025-10-29,10455000.00,1069100.00,4258973617.80,69405970.04
2025-10-28,10352700.00,1069300.00,4241057607.79,68862921.63
2025-10-27,10545300.00,1079800.00,4321251514.55,70856478.97
2025-10-26,10743800.00,1078400.00,4448939200.00,71163613.70
2025-10-25,10649400.00,1070200.00,4415110100.00,70622495.71
2025-10-23,10895300.00,1084800.00,4475342400.00,71585949.68
2025-10-22,10863900.00,1075600.00,4350156534.96,67321804.16
2025-10-21,10912100.00,1088900.00,4451096476.83,66771347.67
2025-10-20,10974200.00,1064100.00,4614363136.08,64920739.21
2025-10-19,11081800.00,1083400.00,4637168891.60,66152405.49
2025-10-18,10847700.00,1065000.00,4558413208.01,65028901.46
2025-10-16,11274100.00,1102500.00,4718920715.33,67318651.51
2025-10-15,11170000.00,1095800.00,4577046912.99,67840977.83
2025-10-14,10843300.00,1088900.00,4506630642.68,67936470.34
2025-10-13,10934500.00,1112000.00,4568763308.59,70411839.66
2025-10-12,10842400.00,1121400.00,4425380874.76,73137709.37
2025-10-11,10922700.00,1127000.00,4447480155.03,73502941.38
2025-10-09,11142700.00,1132850.00,4470566010.31,73884478.38
2025-10-08,11372900.00,1156900.00,4677693826.49,76644625.00
2025-10-07,10929900.00,1139700.00,4532131131.30,74593361.52
2025-10-06,10530900.00,1111600.00,4389152600.00,72776453.36
2025-10-05,10604100.00,1138700.00,4372266334.40,73002057.70
2025-10-04,10954800.00,1153800.00,4430245803.66,73970118.70
2025-10-02,11081300.00,1178600.00,4525470362.45,75560046.72
2025-10-01,10906600.00,1154400.00,4464642000.00,75440038.24
2025-09-30,10674100.00,1141300.00,4383505095.73,76489922.17
2025-09-29,10460300.00,1120400.00,4280936250.59,76153589.37
2025-09-28,10159500.00,1105200.00,4130021772.07,76722981.98
2025-09-27,10357100.00,1101200.00,4115074172.46,76445301.98
2025-09-25,9975700.00,1082900.00,4046688904.25,75174916.02
2025-09-24,9948200.00,1072050.00,4000997909.69,74303782.88
2025-09-23,9651100.00,1034900.00,3912543041.06,69990284.16
2025-09-22,9360500.00,1040000.00,3890327949.22,69232799.68
2025-09-21,9674200.00,1058600.00,3857220768.31,71391986.58
2025-09-20,9235600.00,1026100.00,3738800519.90,69200186.51
2025-09-18,8741000.00,988450.00,3601615216.74,66661070.41
2025-09-17,8839900.00,992350.00,3653634278.45,67430179.47
2025-09-16,8841500.00,996450.00,3675804307.69,68226932.72
2025-09-15,8680300.00,992550.00,3654767561.54,66937574.42
2025-09-14,8425400.00,979800.00,3563434524.32,65029328.69
2025-09-13,8462400.00,976850.00,3552705669.60,64833537.18
2025-09-11,8634200.00,993000.00,3611441603.03,65905412.73
2025-09-09,8850200.00,1008300.00,3673539439.23,66941036.38
2025-09-08,8806600.00,1011000.00,3678119198.73,66746216.61
2025-09-07,8819800.00,1026800.00,3661363490.14,68785329.81
2025-09-06,8764600.00,1029800.00,3672060890.28,68986299.80
2025-09-04,8614800.00,1014400.00,3617147569.53,67954653.83
2025-09-03,8760200.00,1025700.00,3685545189.92,69337318.43
2025-09-02,8769200.00,1032000.00,3662980699.22,71352479.37
2025-08-31,8940700.00,1048300.00,3597555991.19,71934348.88
2025-08-30,8611800.00,1026200.00,3521713210.11,70417846.82
2025-08-28,8343500.00,989000.00,3394050248.29,67865182.72
2025-08-27,8296400.00,1000000.00,3404600097.66,68050003.05
2025-08-26,7967400.00,966500.00,3275081994.38,64968131.18
2025-08-25,7861700.00,958000.00,3232100446.78,65910402.92
2025-08-23,7764700.00,941000.00,3140022808.11,63677468.28
2025-08-21,7845300.00,950600.00,3172057047.17,64327100.26
