Date,Gold,USD,Oil
1403/02/16,32778000,606100,70.79
1403/02/17,32894000,602200,71.2
1403/02/18,32981000,597200,71.23
1403/02/19,33058000,599500,71.27
1403/02/20,33113000,634600,71.34
1403/02/22,33122000,633700,71.41
1403/02/23,33219000,601600,71.51
1403/02/24,33268000,629000,71.59
1403/02/25,33328000,595000,71.67
1403/02/26,33330000,597300,71.67
1403/02/27,33335000,600600,71.82
1403/02/29,33362000,607700,71.92
1403/02/30,33409000,608600,71.94
1403/02/31,33436000,605600,71.96
1403/03/01,33466000,604700,72.04
1403/03/02,33476000,601000,72.23
1403/03/03,33499000,600700,72.25
1403/03/05,33531000,614500,72.37
1403/03/06,33542000,612200,72.42
1403/03/07,33552000,614100,72.43
1403/03/08,33559000,598200,72.56
1403/03/09,33570000,616500,72.77
1403/03/10,33596000,605400,72.88
1403/03/12,33621000,599600,72.92
1403/03/13,33622300,603100,72.96
1403/03/16,33630000,599800,73
1403/03/17,33630000,601900,73.02
1403/03/19,33637000,603900,73.05
1403/03/20,33642000,611600,73.19
1403/03/21,33658000,608500,73.21
1403/03/22,33669000,609900,73.32
1403/03/23,33690000,608300,73.43
1403/03/24,33697000,615900,73.45
1403/03/26,33702000,596500,73.48
1403/03/27,33706000,602600,73.57
1403/03/29,33723000,604700,73.58
1403/03/30,33723000,596100,73.58
1403/03/31,33734000,614800,73.58
1403/04/02,33748000,601200,73.64
1403/04/03,33808000,602700,73.65
1403/04/04,33845000,604500,73.67
1403/04/06,33882000,601200,73.68
1403/04/07,33882000,603200,73.73
1403/04/09,33935000,610200,73.81
1403/04/10,33958000,616910,73.91
1403/04/11,33963000,613620,73.93
1403/04/12,33965000,608140,74.02
1403/04/13,33986000,603750,74.03
1403/04/14,34050000,608760,74.41
1403/04/16,34062000,598300,74.43
1403/04/17,34085000,588510,74.44
1403/04/18,34097000,588520,74.47
1403/04/19,34170000,588790,74.59
1403/04/20,34254000,585100,74.62
1403/04/21,34279000,579650,74.7
1403/04/23,34279000,579900,74.74
1403/04/24,34321000,579170,74.9
1403/04/27,34381000,573300,74.9
1403/04/28,34604000,572200,74.93
1403/04/30,34616000,575770,75.03
1403/04/31,34671000,576110,75.12
1403/05/01,34683000,575960,75.15
1403/05/02,34752000,581760,75.34
1403/05/03,34775000,584600,76.07
1403/05/04,34785000,587610,76.18
1403/05/06,34810000,586460,76.29
1403/05/07,34939000,590840,76.65
1403/05/08,34962000,589400,76.93
1403/05/09,34967000,593500,77.03
1403/05/10,34978000,600400,77.03
1403/05/11,34981000,606000,77.04
1403/05/13,35124000,615270,77.18
1403/05/14,35198000,609000,77.23
1403/05/15,35221000,614900,77.47
1403/05/16,35306000,611400,77.66
1403/05/17,35376000,614010,77.84
1403/05/18,35422000,610000,77.94
1403/05/20,35482000,597700,78.05
1403/05/21,35560000,594100,78.1
1403/05/22,35602000,600250,78.17
1403/05/23,35613000,595700,78.25
1403/05/24,35627000,588350,78.26
1403/05/25,35759000,587650,78.36
1403/05/27,35826000,577050,78.38
1403/05/28,35828000,580500,78.39
1403/05/29,35872000,583100,78.43
1403/05/30,35883000,579850,78.5
1403/05/31,35999000,581600,78.69
1403/06/01,36008000,584100,78.75
1403/06/03,36038000,582650,78.85
1403/06/05,36066000,593200,78.86
1403/06/06,36147000,591250,79.16
1403/06/07,36156000,590000,79.17
1403/06/08,36177000,593950,79.39
1403/06/10,36244000,594800,79.43
1403/06/11,36292000,599000,79.58
1403/06/13,36320000,598900,79.7
1403/06/15,36433000,599000,79.8
1403/06/17,36454000,597500,79.93
1403/06/18,36523000,594500,80.15
1403/06/19,36629000,596750,80.27
1403/06/20,36754000,596150,80.37
1403/06/21,36895000,597500,80.46
1403/06/24,36975000,593900,80.46
1403/06/25,37063000,590400,80.65
1403/06/26,37093000,591000,80.66
1403/06/27,37313000,595150,80.78
1403/06/28,37331000,592350,80.79
1403/06/29,37382000,592300,80.83
1403/07/01,38054000,595500,80.93
1403/07/02,38497000,597800,81.05
1403/07/03,38781000,604850,81.3
1403/07/04,39051000,597150,81.37
1403/07/05,39072000,600300,81.43
1403/07/07,39376000,607000,81.45
1403/07/08,39787000,606100,81.45
1403/07/09,40261000,603750,81.67
1403/07/10,40346000,614950,81.72
1403/07/11,40365000,622550,81.74
1403/07/12,40501000,626900,81.92
1403/07/14,40674000,623900,81.93
1403/07/15,40785000,634550,81.98
1403/07/16,40819000,628450,81.99
1403/07/17,40928000,625450,82.01
1403/07/18,40930000,629350,82.02
1403/07/19,40999000,635500,82.17
1403/07/21,41050000,624950,82.19
1403/07/22,41050000,628450,82.23
1403/07/23,41078000,631500,82.26
1403/07/24,41410000,627650,82.36
1403/07/25,41625000,633350,82.41
1403/07/26,41794000,636600,82.52
1403/07/28,42463000,639600,82.61
1403/07/29,42535000,641950,82.63
1403/07/30,42759000,648550,82.67
1403/08/01,42872000,661500,82.68
1403/08/02,42962000,677300,82.71
1403/08/03,42983000,679500,82.77
1403/08/05,43223000,655300,82.81
1403/08/06,43255000,660850,82.82
1403/08/07,43569000,674800,82.89
1403/08/08,43744000,684000,82.9
1403/08/09,43768000,692400,82.95
1403/08/10,44361000,682300,82.99
1403/08/12,44368000,694800,83
1403/08/13,44458000,693250,83.06
1403/08/14,44481000,689600,83.08
1403/08/15,44703000,688900,83.08
1403/08/16,44735000,696250,83.08
1403/08/17,44950000,690450,83.11
1403/08/19,45111000,692200,83.15
1403/08/20,45197000,682650,83.27
1403/08/21,45363000,669200,83.3
1403/08/22,45432000,678200,83.38
1403/08/23,45467000,684400,83.43
1403/08/24,45631000,683300,83.58
1403/08/26,45649000,682400,83.6
1403/08/27,45677000,681750,83.74
1403/08/28,45677000,684450,83.79
1403/08/29,45709000,689050,84
1403/08/30,45795000,689300,84.19
1403/09/01,45919000,692250,84.23
1403/09/03,45970000,699050,84.29
1403/09/04,46097000,689600,84.3
1403/09/05,46127000,693700,84.44
1403/09/06,46150000,695950,84.5
1403/09/07,46185000,699050,84.51
1403/09/08,46217000,701400,84.56
1403/09/10,46268000,704000,84.74
1403/09/11,46579000,699000,84.81
1403/09/12,46593000,704150,84.88
1403/09/13,46605000,710950,84.98
1403/09/14,46790000,714800,85.43
1403/09/17,46866000,715600,85.43
1403/09/18,46942000,719200,85.46
1403/09/19,47508000,718850,85.56
1403/09/20,47579000,723200,85.91
1403/09/21,48182000,731950,85.92
1403/09/22,48535000,729600,86
1403/09/24,48613000,747150,86.03
1403/09/25,48676000,747100,86.05
1403/09/26,48710000,759500,86.11
1403/09/27,48918000,766300,86.27
1403/09/28,49071000,773650,86.27
1403/09/29,49124000,767550,86.51
1403/10/01,49417000,762400,86.51
1403/10/02,49694000,762800,86.59
1403/10/03,49872000,778800,86.81
1403/10/04,50493000,786600,87.06
1403/10/05,50777000,785950,87.17
1403/10/06,51174000,793850,87.33
1403/10/08,51206000,810600,87.35
1403/10/09,51432000,797150,87.43
1403/10/10,51564000,813200,87.52
1403/10/11,51612000,813050,88.15
1403/10/12,51956000,812300,88.39
1403/10/13,52185000,806350,88.45
1403/10/15,52240000,798350,88.72
1403/10/16,52298000,795450,88.97
1403/10/17,52305000,793450,89.19
1403/10/18,52413000,800800,89.57
1403/10/19,52538000,804100,89.58
1403/10/20,52587000,813900,89.64
1403/10/22,52630000,819500,90.18
1403/10/23,52718000,806650,90.29
1403/10/24,52834000,814600,90.39
1403/10/26,52850000,804850,90.62
1403/10/27,53284000,800700,90.77
1403/10/29,53535000,805300,91.12
