open,low,high,close,change,percent,date1,date2
13376000,13374000,13494000,13483000,114000,0.85%,24/10/2022,1401/08/02
13376000,13374000,13494000,13483000,114000,0.85%,24/10/2022,1401/08/02
13395000,13305000,13439000,13406000,2000,0.01%,19/10/2022,1401/07/27
13395000,13305000,13439000,13406000,2000,0.01%,19/10/2022,1401/07/27
13406000,13406000,13406000,13406000,-,-,20/10/2022,1401/07/28
13406000,13406000,13406000,13406000,-,-,20/10/2022,1401/07/28
13423000,13351000,13443000,13369000,51000,0.38%,23/10/2022,1401/08/01
13423000,13351000,13443000,13369000,51000,0.38%,23/10/2022,1401/08/01
13448000,13386000,13494000,13404000,46000,0.34%,18/10/2022,1401/07/26
13448000,13386000,13494000,13404000,46000,0.34%,18/10/2022,1401/07/26
13469000,13469000,13619000,13616000,133000,0.99%,25/10/2022,1401/08/03
13469000,13469000,13619000,13616000,133000,0.99%,25/10/2022,1401/08/03
13485000,13473000,13577000,13561000,21200,0.16%,29/10/2022,1401/08/07
13485000,13473000,13577000,13561000,21200,0.16%,29/10/2022,1401/08/07
13538000,13404000,13563000,13420000,14000,0.10%,22/10/2022,1401/07/30
13538000,13404000,13563000,13420000,14000,0.10%,22/10/2022,1401/07/30
13559000,13556000,13633000,13605000,44000,0.32%,30/10/2022,1401/08/08
13559000,13556000,13633000,13605000,44000,0.32%,30/10/2022,1401/08/08
13600000,13593000,13787000,13748000,143000,1.05%,31/10/2022,1401/08/09
13600000,13593000,13787000,13748000,143000,1.05%,31/10/2022,1401/08/09
13603000,13593000,13707000,13616000,-,-,26/10/2022,1401/08/04
13603000,13593000,13707000,13616000,-,-,26/10/2022,1401/08/04
13603900,13440900,13847400,13539800,76200,0.56%,27/10/2022,1401/08/05
13603900,13440900,13847400,13539800,76200,0.56%,27/10/2022,1401/08/05
13734000,13732000,14094000,13965000,217000,1.58%,01/11/2022,1401/08/10
13734000,13732000,14094000,13965000,217000,1.58%,01/11/2022,1401/08/10
13930000,13930000,13930000,13930000,-,-,03/11/2022,1401/08/12
13930000,13930000,13930000,13930000,-,-,03/11/2022,1401/08/12
13963000,13891000,13963000,13930000,35000,0.25%,02/11/2022,1401/08/11
13963000,13891000,13963000,13930000,35000,0.25%,02/11/2022,1401/08/11
14491000,14471000,14808000,14801000,871000,6.25%,05/11/2022,1401/08/14
14491000,14471000,14808000,14801000,871000,6.25%,05/11/2022,1401/08/14
14660000,14660000,14660000,14660000,-,-,10/11/2022,1401/08/19
14660000,14660000,14660000,14660000,-,-,10/11/2022,1401/08/19
14674000,14498000,14688000,14660000,7000,0.05%,09/11/2022,1401/08/18
14674000,14498000,14688000,14660000,7000,0.05%,09/11/2022,1401/08/18
14755000,14519000,14870000,14667000,78000,0.53%,08/11/2022,1401/08/17
14755000,14519000,14870000,14667000,78000,0.53%,08/11/2022,1401/08/17
14805000,14773000,14923000,14870000,210000,1.43%,12/11/2022,1401/08/21
14805000,14773000,14923000,14870000,210000,1.43%,12/11/2022,1401/08/21
14808000,14725000,15057000,14861000,60000,0.41%,06/11/2022,1401/08/15
14808000,14725000,15057000,14861000,60000,0.41%,06/11/2022,1401/08/15
14856000,14856000,14856000,14856000,-,-,17/11/2022,1401/08/26
14856000,14856000,14856000,14856000,-,-,17/11/2022,1401/08/26
14856000,14856000,14856000,14856000,-,-,17/11/2022,1401/08/26
14859000,14535000,14859000,14745000,116000,0.79%,07/11/2022,1401/08/16
14859000,14535000,14859000,14745000,116000,0.79%,07/11/2022,1401/08/16
14872000,14815000,15052000,15013000,157000,1.06%,19/11/2022,1401/08/28
14872000,14815000,15052000,15013000,157000,1.06%,19/11/2022,1401/08/28
14872000,14815000,15052000,15013000,157000,1.06%,19/11/2022,1401/08/28
14875000,14868000,15110000,15089000,219000,1.47%,13/11/2022,1401/08/22
14875000,14868000,15110000,15089000,219000,1.47%,13/11/2022,1401/08/22
