open,low,high,close,change,percent,date1,date2
81.74,81.74,81.74,81.74,0.43,0.53%,2025/01/22,1403/11/03
82.17,82.17,82.17,82.17,0.94,1.14%,2025/01/21,1403/11/02
83.11,83.11,83.11,83.11,0.04,0.05%,2025/01/20,1403/11/01
83.15,83.15,83.15,83.15,1.43,1.75%,2025/01/17,1403/10/28
81.72,81.72,81.72,81.72,3.78,4.85%,2025/01/14,1403/10/25
77.94,77.94,77.94,77.94,1.01,1.31%,2025/01/13,1403/10/24
76.93,76.93,76.93,76.93,0.86,1.13%,2025/01/09,1403/10/20
76.07,76.07,76.07,76.07,0.11,0.14%,2025/01/08,1403/10/19
76.18,76.18,76.18,76.18,1.25,1.67%,2025/01/07,1403/10/18
74.93,74.93,74.93,74.93,0.34,0.46%,2025/01/03,1403/10/14
74.59,74.59,74.59,74.59,0.68,0.92%,2025/01/02,1403/10/13
73.91,73.91,73.91,73.91,1.03,1.41%,2024/12/30,1403/10/10
72.88,72.88,72.88,72.88,0.85,1.17%,2024/12/20,1403/09/30
73.73,73.73,73.73,73.73,0.3,0.41%,2024/12/19,1403/09/29
73.43,73.43,73.43,73.43,0.6,0.82%,2024/12/18,1403/09/28
74.03,74.03,74.03,74.03,0.45,0.61%,2024/12/17,1403/09/27
73.58,73.58,73.58,73.58,1.15,1.59%,2024/12/16,1403/09/26
72.43,72.43,72.43,72.43,0.51,0.71%,2024/12/12,1403/09/22
71.92,71.92,71.92,71.92,0.04,0.06%,2024/12/11,1403/09/21
71.96,71.96,71.96,71.96,0.29,0.4%,2024/12/10,1403/09/20
71.67,71.67,71.67,71.67,0.7,0.98%,2024/12/09,1403/09/19
72.37,72.37,72.37,72.37,0.43,0.6%,2024/12/04,1403/09/14
71.94,71.94,71.94,71.94,0.12,0.17%,2024/12/03,1403/09/13
71.82,71.82,71.82,71.82,1.14,1.59%,2024/11/29,1403/09/09
72.96,72.96,72.96,72.96,0.62,0.85%,2024/11/27,1403/09/07
73.58,73.58,73.58,73.58,0.85,1.16%,2024/11/26,1403/09/06
74.43,74.43,74.43,74.43,1.11,1.51%,2024/11/25,1403/09/05
73.32,73.32,73.32,73.32,0.27,0.37%,2024/11/22,1403/09/02
73.05,73.05,73.05,73.05,0.49,0.68%,2024/11/21,1403/09/01
72.56,72.56,72.56,72.56,1.36,1.91%,2024/11/20,1403/08/30
71.20,71.20,71.20,71.20,0.03,0.04%,2024/11/19,1403/08/29
71.23,71.23,71.23,71.23,0.44,0.62%,2024/11/18,1403/08/28
71.67,71.67,71.67,71.67,0.16,0.22%,2024/11/15,1403/08/25
71.51,71.51,71.51,71.51,1.41,1.97%,2024/11/13,1403/08/23
72.92,72.92,72.92,72.92,1.01,1.39%,2024/11/12,1403/08/22
73.93,73.93,73.93,73.93,0.48,0.65%,2024/11/11,1403/08/21
73.94,73.94,74.41,74.41,0.39,0.53%,2024/11/08,1403/08/18
74.02,74.02,74.02,74.02,0.38,0.52%,2024/11/05,1403/08/15
73.64,73.64,73.64,73.64,2.37,3.33%,2024/11/04,1403/08/14
71.27,71.27,71.27,71.27,0.48,0.68%,2024/10/31,1403/08/10
70.79,70.79,70.79,70.79,0.8,1.13%,2024/10/30,1403/08/09
71.59,71.59,71.59,71.59,2.22,3.1%,2024/10/29,1403/08/08
73.81,73.81,73.81,73.81,0.89,1.21%,2024/10/28,1403/08/07
74.70,74.70,74.70,74.70,0.23,0.31%,2024/10/25,1403/08/04
74.47,74.47,74.47,74.47,0.99,1.35%,2024/10/24,1403/08/03
73.48,73.48,73.48,73.48,0.46,0.63%,2024/10/23,1403/08/02
73.02,73.02,73.02,73.02,0.19,0.26%,2024/10/22,1403/08/01
73.21,73.21,73.21,73.21,0.24,0.33%,2024/10/21,1403/07/30
73.45,73.45,73.45,73.45,0.13,0.18%,2024/10/17,1403/07/26
73.58,73.58,73.58,73.58,3.6,4.89%,2024/10/16,1403/07/25
77.18,77.18,77.18,77.18,1.25,1.62%,2024/10/15,1403/07/24
78.43,78.43,78.43,78.43,1.2,1.55%,2024/10/14,1403/07/23
77.23,77.23,77.23,77.23,0.19,0.25%,2024/10/11,1403/07/20
77.04,77.04,77.04,77.04,1.22,1.58%,2024/10/10,1403/07/19
78.26,78.26,78.26,78.26,0.24,0.31%,2024/10/09,1403/07/18
78.50,78.50,78.50,78.50,0.84,1.08%,2024/10/08,1403/07/17
77.66,77.66,77.66,77.66,2.76,3.68%,2024/10/07,1403/07/16
74.90,74.90,74.90,74.90,0.28,0.38%,2024/10/04,1403/07/13
74.62,74.62,74.62,74.62,3.28,4.6%,2024/10/03,1403/07/12
71.34,71.34,71.34,71.34,1.66,2.33%,2024/10/02,1403/07/11
73,73,73,73,0.75,1.04%,2024/10/01,1403/07/10
72.25,72.25,72.25,72.25,0.21,0.29%,2024/09/30,1403/07/09
72.04,72.04,72.04,72.04,2.86,3.97%,2024/09/27,1403/07/06
74.90,74.90,74.90,74.90,0.22,0.29%,2024/09/26,1403/07/05
75.12,75.12,75.12,75.12,0.68,0.91%,2024/09/25,1403/07/04
74.44,74.44,74.44,74.44,0.3,0.4%,2024/09/24,1403/07/03
74.74,74.74,74.74,74.74,0.41,0.55%,2024/09/23,1403/07/02
75.15,75.15,75.15,75.15,1.5,2.04%,2024/09/20,1403/06/30
73.65,73.65,73.65,73.65,0.08,0.11%,2024/09/19,1403/06/29
73.57,73.57,73.57,73.57,0.8,1.1%,2024/09/18,1403/06/28
72.77,72.77,72.77,72.77,0.35,0.48%,2024/09/17,1403/06/27
70.84,70.84,72.42,72.42,1.01,1.41%,2024/09/13,1403/06/23
71.41,71.41,71.41,71.41,0.82,1.15%,2024/09/11,1403/06/21
72.23,72.23,72.23,72.23,0.96,1.33%,2024/09/10,1403/06/20
73.19,73.19,73.19,73.19,0.49,0.67%,2024/09/09,1403/06/19
73.68,73.68,73.68,73.68,0.01,0.01%,2024/09/06,1403/06/16
73.67,73.67,73.67,73.67,2.62,3.56%,2024/09/05,1403/06/15
76.29,76.29,76.29,76.29,0.74,0.97%,2024/09/04,1403/06/14
77.03,77.03,77.03,77.03,1.72,2.23%,2024/09/03,1403/06/13
78.75,78.75,78.75,78.75,0.65,0.83%,2024/09/02,1403/06/12
78.10,78.10,78.10,78.10,0.15,0.19%,2024/08/30,1403/06/09
78.25,78.25,78.25,78.25,1.18,1.51%,2024/08/29,1403/06/08
77.75,77.75,79.43,79.43,2.4,3.12%,2024/08/27,1403/06/06
77.03,77.03,77.03,77.03,1.66,2.16%,2024/08/23,1403/06/02
78.69,78.69,78.69,78.69,1.24,1.58%,2024/08/20,1403/05/30
79.93,79.93,79.93,79.93,0.85,1.06%,2024/08/16,1403/05/26
80.78,80.78,80.78,80.78,0.98,1.23%,2024/08/14,1403/05/24
79.80,79.80,79.80,79.80,1.75,2.24%,2024/08/13,1403/05/23
78.05,78.05,78.05,78.05,0.21,0.27%,2024/08/12,1403/05/22
77.84,77.84,77.84,77.84,1.19,1.55%,2024/08/09,1403/05/19
76.65,76.65,76.65,76.65,1.31,1.74%,2024/08/08,1403/05/18
75.34,75.34,75.34,75.34,0.31,0.41%,2024/08/07,1403/05/17
75.03,75.03,75.03,75.03,3.82,5.09%,2024/08/06,1403/05/16
78.85,78.85,78.85,78.85,1.94,2.46%,2024/08/05,1403/05/15
80.79,80.79,80.79,80.79,0.14,0.17%,2024/08/02,1403/05/12
80.65,80.65,80.65,80.65,1.07,1.34%,2024/08/01,1403/05/11
79.58,79.58,79.58,79.58,1.08,1.36%,2024/07/31,1403/05/10
80.66,80.66,80.66,80.66,1.01,1.25%,2024/07/30,1403/05/09
81.67,81.67,81.67,81.67,0.3,0.37%,2024/07/29,1403/05/08
81.37,81.37,81.37,81.37,0.08,0.1%,2024/07/26,1403/05/05
81.45,81.45,81.45,81.45,0.74,0.91%,2024/07/25,1403/05/04
82.19,82.19,82.19,82.19,0.58,0.71%,2024/07/24,1403/05/03
82.77,82.77,82.77,82.77,2.04,2.46%,2024/07/23,1403/05/02
84.81,84.81,84.81,84.81,0.62,0.73%,2024/07/22,1403/05/01
85.43,85.43,85.43,85.43,0.87,1.03%,2024/07/19,1403/04/29
84.56,84.56,84.56,84.56,0.12,0.14%,2024/07/18,1403/04/28
84.44,84.44,84.44,84.44,1.83,2.17%,2024/07/17,1403/04/27
86.27,86.27,86.27,86.27,0.16,0.19%,2024/07/15,1403/04/25
86.11,86.11,86.11,86.11,0.2,0.23%,2024/07/12,1403/04/22
